case_id,dataset,fold,dice_single,detectability_single,precision_single,dice_dual,detectability_dual,precision_dual,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1072,Liver_Lesions,0,0.9307488475718811,0.6666666666666666,1.0,0.9387592788971368,0.6666666666666666,1.0,0.008010431325255696,0.0,0.0
Liver_Lesions_1073,Liver_Lesions,0,0.979169899815495,1.0,0.8333333333333334,0.9804615060259108,1.0,0.8333333333333334,0.0012916062104157966,0.0,0.0
Liver_Lesions_1076,Liver_Lesions,0,0.7454068241469817,0.6666666666666666,0.6666666666666666,0.5842217484008528,0.6666666666666666,0.6666666666666666,-0.16118507574612884,0.0,0.0
Liver_Lesions_1087,Liver_Lesions,0,0.7847039313237733,0.3181818181818182,0.6363636363636364,0.7557369614512471,0.3181818181818182,0.5833333333333334,-0.028966969872526116,0.0,-0.05303030303030298
Liver_Lesions_1092,Liver_Lesions,0,0.9002229654403567,1.0,1.0,0.8574451203385348,1.0,0.75,-0.04277784510182192,0.0,-0.25
Liver_Lesions_1100,Liver_Lesions,0,0.0621587568248635,0.3333333333333333,0.3333333333333333,0.01984712350811318,0.3333333333333333,0.3333333333333333,-0.04231163331675032,0.0,0.0
Liver_Lesions_1101,Liver_Lesions,0,0.9462433197107828,0.7894736842105263,0.7894736842105263,0.9480691448382126,0.7894736842105263,0.8823529411764706,0.001825825127429792,0.0,0.09287925696594423
Liver_Lesions_1104,Liver_Lesions,0,0.9138028977534338,0.5,0.3333333333333333,0.9385609896682305,0.75,0.75,0.02475809191479672,0.25,0.4166666666666667
Liver_Lesions_1111,Liver_Lesions,0,0.9629777296804694,1.0,0.5,0.9671348073567689,1.0,1.0,0.004157077676299581,0.0,0.5
Liver_Lesions_1115,Liver_Lesions,0,0.9065326633165829,1.0,1.0,0.9098196392785571,1.0,1.0,0.003286975961974248,0.0,0.0
Liver_Lesions_1127,Liver_Lesions,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Liver_Lesions_1131,Liver_Lesions,0,0.8832823465898866,0.7142857142857143,0.7142857142857143,0.8542038366319517,0.7142857142857143,0.7142857142857143,-0.029078509957934928,0.0,0.0
Liver_Lesions_1136,Liver_Lesions,0,0.9599138124523051,0.9411764705882352,0.9411764705882352,0.9570624062430835,1.0,1.0,-0.002851406209221641,0.05882352941176483,0.05882352941176483
Liver_Lesions_1137,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1147,Liver_Lesions,0,0.9369909615159312,0.6,0.6,0.8562259000875422,0.8,0.8,-0.08076506142838902,0.20000000000000007,0.20000000000000007
Liver_Lesions_1148,Liver_Lesions,0,0.8480026520802254,0.6666666666666666,0.5,0.828538924102064,0.6666666666666666,0.2857142857142857,-0.019463727978161427,0.0,-0.2142857142857143
Liver_Lesions_1149,Liver_Lesions,0,0.8319822587170536,0.5,0.25,0.8209257933667382,0.3333333333333333,0.2857142857142857,-0.011056465350315348,-0.16666666666666669,0.0357142857142857
Liver_Lesions_1150,Liver_Lesions,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Liver_Lesions_1151,Liver_Lesions,0,0.8519546233575451,0.5,1.0,0.7263479145473042,0.5,1.0,-0.12560670881024094,0.0,0.0
Liver_Lesions_1153,Liver_Lesions,0,0.466678737861302,1.0,0.5,0.47280775512965484,1.0,0.6666666666666666,0.006129017268352854,0.0,0.16666666666666663
Liver_Lesions_1154,Liver_Lesions,0,0.6239178732858347,0.5,0.6666666666666666,0.6133716533050976,0.75,1.0,-0.010546219980737126,0.25,0.33333333333333337
Liver_Lesions_1162,Liver_Lesions,0,0.8686674000719038,0.5283018867924528,0.4590163934426229,0.8613456056411715,0.5849056603773585,0.4696969696969697,-0.007321794430732331,0.05660377358490565,0.010680576254346819
Liver_Lesions_1164,Liver_Lesions,0,0.8245614035087719,1.0,0.3333333333333333,0.78125,1.0,0.3333333333333333,-0.04331140350877194,0.0,0.0
